,Topic,Word,P
0,0,proposit,0.7130565047264099
1,0,chain,0.10523335635662079
2,0,chang,0.033637743443250656
3,0,master,0.02610078640282154
4,0,stakehold,0.000416393595514819
5,0,investor,0.00041637878166511655
6,0,alloc,0.0004162847180850804
7,0,social,0.0004162847180850804
8,0,order,0.0004162847180850804
9,0,list,0.0004162847180850804
10,1,trend,0.23915845155715942
11,1,offer,0.002570587443187833
12,1,effici,0.0025704102590680122
13,1,definit,0.0025704102590680122
14,1,order,0.0025704102590680122
15,1,list,0.0025704102590680122
16,1,social,0.0025704102590680122
17,1,group,0.0025704102590680122
18,1,emerg,0.0025704102590680122
19,1,preferenti,0.0025704102590680122
20,2,definit,0.003367003286257386
21,2,defin,0.003367003286257386
22,2,list,0.003367003286257386
23,2,social,0.003367003286257386
24,2,group,0.003367003286257386
25,2,emerg,0.003367003286257386
26,2,effici,0.003367003286257386
27,2,aggress,0.003367003286257386
28,2,alloc,0.003367003286257386
29,2,increas,0.003367003286257386
30,3,investor,0.6490039229393005
31,3,proposit,0.16637079417705536
32,3,compar,0.03282158821821213
33,3,cybersecur,0.0005165037582628429
34,3,compani,0.0005164715694263577
35,3,offer,0.0005163758178241551
36,3,list,0.0005163372261449695
37,3,group,0.0005163372261449695
38,3,order,0.0005163372261449695
39,3,preferenti,0.0005163372261449695
40,4,resourc,0.6075037121772766
41,4,owner,0.18579526245594025
42,4,mechan,0.02618790976703167
43,4,master,0.02038702927529812
44,4,low,0.011150162667036057
45,4,offer,0.0005110834608785808
46,4,investor,0.0005104079027660191
47,4,exist,0.0005102358409203589
48,4,custom,0.0005102314753457904
49,4,benefit,0.0005102215218357742
50,5,product,0.6884059309959412
51,5,portfolio,0.10509493201971054
52,5,infrastructur,0.014288172125816345
53,5,custom,0.000654121395200491
54,5,competitor,0.0006539704045280814
55,5,offer,0.0006538315210491419
56,5,benefit,0.0006538130110129714
57,5,order,0.0006537756999023259
58,5,group,0.0006537756999023259
59,5,social,0.0006537756999023259
60,6,easier,0.06452605128288269
61,6,payoff,0.06452414393424988
62,6,offer,0.0029529582243412733
63,6,return,0.002952630165964365
64,6,investor,0.0029525416903197765
65,6,opportun,0.0029525384306907654
66,6,group,0.002952368464320898
67,6,alloc,0.002952368464320898
68,6,aggress,0.002952368464320898
69,6,list,0.002952368464320898
70,7,competitor,0.44904065132141113
71,7,price,0.08165762573480606
72,7,brand,0.0016002024058252573
73,7,custom,0.0015912232920527458
74,7,resourc,0.0015909913927316666
75,7,servic,0.0015909711364656687
76,7,compar,0.0015908916248008609
77,7,offer,0.001590879401192069
78,7,qualiti,0.001590866595506668
79,7,order,0.0015908185159787536
80,8,definit,0.003367003286257386
81,8,defin,0.003367003286257386
82,8,list,0.003367003286257386
83,8,social,0.003367003286257386
84,8,group,0.003367003286257386
85,8,emerg,0.003367003286257386
86,8,effici,0.003367003286257386
87,8,aggress,0.003367003286257386
88,8,alloc,0.003367003286257386
89,8,increas,0.003367003286257386
90,9,employe,0.7038167119026184
91,9,innov,0.10941973328590393
92,9,revenu,0.027759959921240807
93,9,proposit,0.0005419309600256383
94,9,benefit,0.0005418617511168122
95,9,stakehold,0.0005415476043708622
96,9,capabl,0.0005414274055510759
97,9,list,0.0005408168071880937
98,9,alloc,0.0005408168071880937
99,9,order,0.0005408168071880937
100,10,standard,0.40426692366600037
101,10,oper,0.08327940851449966
102,10,cyberattack,0.0354578010737896
103,10,compani,0.001623662537895143
104,10,border,0.0016235396033152938
105,10,custom,0.0016231826739385724
106,10,invest,0.0016228986205533147
107,10,stakehold,0.0016228463500738144
108,10,user,0.001622718875296414
109,10,investor,0.001622718875296414
110,11,qualiti,0.3574604392051697
111,11,content,0.037012048065662384
112,11,return,0.037012048065662384
113,11,applic,0.037012048065662384
114,11,interfac,0.037012048065662384
115,11,user,0.0016950416611507535
116,11,custom,0.0016935699386522174
117,11,group,0.0016934579471126199
118,11,order,0.0016934579471126199
119,11,social,0.0016934579471126199
120,12,cybersecur,0.22191865742206573
121,12,investor,0.0026291348040103912
122,12,stakehold,0.0026291348040103912
123,12,user,0.0026288782246410847
124,12,chain,0.0026288216467946768
125,12,owner,0.00262878998182714
126,12,benefit,0.00262878998182714
127,12,offer,0.0026287068612873554
128,12,preferenti,0.00262864725664258
129,12,order,0.00262864725664258
130,13,custom,0.9233361482620239
131,13,chain,0.00025901634944602847
132,13,offer,0.0002590157091617584
133,13,effici,0.00025899981847032905
134,13,definit,0.00025899981847032905
135,13,order,0.00025899981847032905
136,13,list,0.00025899981847032905
137,13,social,0.00025899981847032905
138,13,group,0.00025899981847032905
139,13,emerg,0.00025899981847032905
140,14,life,0.3170105516910553
141,14,barrier,0.10122764110565186
142,14,partner,0.001972523517906666
143,14,proposit,0.001972300698980689
144,14,offer,0.0019721982534974813
145,14,stakehold,0.001972178230062127
146,14,owner,0.0019721759017556906
147,14,border,0.0019721759017556906
148,14,capabl,0.0019721759017556906
149,14,resourc,0.0019721759017556906
150,15,stakehold,0.8284503221511841
151,15,proposit,0.0005795935285277665
152,15,effici,0.0005795599427074194
153,15,definit,0.0005795599427074194
154,15,order,0.0005795599427074194
155,15,list,0.0005795599427074194
156,15,social,0.0005795599427074194
157,15,group,0.0005795599427074194
158,15,emerg,0.0005795599427074194
159,15,preferenti,0.0005795599427074194
160,16,definit,0.003367003286257386
161,16,defin,0.003367003286257386
162,16,list,0.003367003286257386
163,16,social,0.003367003286257386
164,16,group,0.003367003286257386
165,16,emerg,0.003367003286257386
166,16,effici,0.003367003286257386
167,16,aggress,0.003367003286257386
168,16,alloc,0.003367003286257386
169,16,increas,0.003367003286257386
170,17,data,0.3329440653324127
171,17,platform,0.29407063126564026
172,17,offer,0.08053851872682571
173,17,logist,0.02030021697282791
174,17,emerg,0.0009288280853070319
175,17,alloc,0.0009288280853070319
176,17,order,0.0009288280853070319
177,17,list,0.0009288280853070319
178,17,social,0.0009288280853070319
179,17,group,0.0009288280853070319
180,18,stakehold,0.00336718512699008
181,18,proposit,0.00336718512699008
182,18,effici,0.0033670023549348116
183,18,definit,0.0033670023549348116
184,18,order,0.0033670023549348116
185,18,list,0.0033670023549348116
186,18,social,0.0033670023549348116
187,18,group,0.0033670023549348116
188,18,emerg,0.0033670023549348116
189,18,preferenti,0.0033670023549348116
190,19,opportun,0.6421880125999451
191,19,champion,0.02468070574104786
192,19,definit,0.0011292584240436554
193,19,list,0.0011292584240436554
194,19,social,0.0011292584240436554
195,19,group,0.0011292584240436554
196,19,emerg,0.0011292584240436554
197,19,effici,0.0011292584240436554
198,19,aggress,0.0011292584240436554
199,19,alloc,0.0011292584240436554
200,20,channel,0.5616797804832458
201,20,custom,0.0014877918874844909
202,20,product,0.0014826918486505747
203,20,proposit,0.0014810546999797225
204,20,stakehold,0.0014810546999797225
205,20,offer,0.0014808798441663384
206,20,list,0.001480779959820211
207,20,group,0.001480779959820211
208,20,alloc,0.001480779959820211
209,20,order,0.001480779959820211
210,21,user,0.3565945029258728
211,21,habit,0.22688442468643188
212,21,custom,0.0015637496253475547
213,21,offer,0.001416816608980298
214,21,list,0.0014114006189629436
215,21,group,0.0014114006189629436
216,21,effici,0.0014114006189629436
217,21,defin,0.0014114006189629436
218,21,social,0.0014114006189629436
219,21,order,0.0014114006189629436
220,22,serv,0.14778637886047363
221,22,stakehold,0.002879262203350663
222,22,effici,0.002879099454730749
223,22,definit,0.002879099454730749
224,22,order,0.002879099454730749
225,22,list,0.002879099454730749
226,22,social,0.002879099454730749
227,22,group,0.002879099454730749
228,22,emerg,0.002879099454730749
229,22,preferenti,0.002879099454730749
230,23,servic,0.3439236283302307
231,23,custom,0.15042847394943237
232,23,compani,0.14808104932308197
233,23,product,0.14472424983978271
234,23,offer,0.07395675778388977
235,23,exist,0.03293471410870552
236,23,way,0.027501041069626808
237,23,local,0.0002707374223973602
238,23,benefit,0.00027059498825110495
239,23,proposit,0.00027058180421590805
240,24,skill,0.3241269290447235
241,24,reward,0.08746246993541718
242,24,loyalti,0.08746246993541718
243,24,capabl,0.0017052334733307362
244,24,custom,0.0017041441751644015
245,24,resourc,0.0017041303217411041
246,24,owner,0.0017039915546774864
