,Topic,Word,P
0,0,stakeholder,0.36585620045661926
1,0,employee,0.33308446407318115
2,0,proposition,0.20024442672729492
3,0,change,0.02068135142326355
4,0,customer,0.0004112658789381385
5,0,investor,0.0003791155177168548
6,0,compared,0.0002560765133239329
7,0,competitor,0.0002560365537647158
8,0,offer,0.00025603498215787113
9,0,user,0.0002560291322879493
10,1,treatment,0.0031645570416003466
11,1,customizing,0.0031645570416003466
12,1,aligned,0.0031645570416003466
13,1,tend,0.0031645570416003466
14,1,stream,0.0031645570416003466
15,1,loyal,0.0031645570416003466
16,1,advocacy,0.0031645570416003466
17,1,wish,0.0031645570416003466
18,1,associated,0.0031645570416003466
19,1,preferentially,0.0031645570416003466
20,2,way,0.2176942527294159
21,2,mechanism,0.10991734266281128
22,2,offer,0.0021416833624243736
23,2,customer,0.0021416458766907454
24,2,existing,0.0021415012888610363
25,2,owner,0.002141494071111083
26,2,investor,0.002141485922038555
27,2,resource,0.0021414810325950384
28,2,initiative,0.0021413611248135567
29,2,tend,0.0021413611248135567
30,3,competitor,0.4725911617279053
31,3,brand,0.0016879277536645532
32,3,customer,0.0016779700526967645
33,3,service,0.0016761290607973933
34,3,stream,0.0016742524458095431
35,3,advocacy,0.0016742524458095431
36,3,initiative,0.0016742524458095431
37,3,aligned,0.0016742524458095431
38,3,preferentially,0.0016742524458095431
39,3,tend,0.0016742524458095431
40,4,skill,0.31223124265670776
41,4,master,0.16659939289093018
42,4,investor,0.004132363945245743
43,4,owner,0.002726444276049733
44,4,customer,0.002683464204892516
45,4,resource,0.002575224731117487
46,4,proposition,0.001866389298811555
47,4,product,0.0016435760771855712
48,4,stakeholder,0.0016420031897723675
49,4,benefit,0.0016417220467701554
50,5,investment,0.5008714199066162
51,5,benefit,0.16869701445102692
52,5,bound,0.020301781594753265
53,5,term,0.020301781594753265
54,5,stakeholder,0.0009378776885569096
55,5,company,0.0009291813476011157
56,5,proposition,0.0009290563175454736
57,5,return,0.000928988098166883
58,5,owner,0.0009289553854614496
59,5,resource,0.0009289553854614496
60,6,trend,0.17440037429332733
61,6,data,0.04096702113747597
62,6,solution,0.04096652567386627
63,6,payment,0.04096652567386627
64,6,pattern,0.04096652567386627
65,6,headquarters,0.040965735912323
66,6,customized,0.04096381738781929
67,6,service,0.00228275079280138
68,6,customer,0.0020502672996371984
69,6,offer,0.00188606814481318
70,7,brand,0.4783494174480438
71,7,intermediary,0.0339464470744133
72,7,resource,0.0015532814431935549
73,7,existing,0.0015532814431935549
74,7,aligned,0.0015531970420852304
75,7,stream,0.0015531970420852304
76,7,advocacy,0.0015531970420852304
77,7,tend,0.0015531970420852304
78,7,associated,0.0015531970420852304
79,7,initiative,0.0015531970420852304
80,8,treatment,0.0031645570416003466
81,8,customizing,0.0031645570416003466
82,8,aligned,0.0031645570416003466
83,8,tend,0.0031645570416003466
84,8,stream,0.0031645570416003466
85,8,loyal,0.0031645570416003466
86,8,advocacy,0.0031645570416003466
87,8,wish,0.0031645570416003466
88,8,associated,0.0031645570416003466
89,8,preferentially,0.0031645570416003466
90,9,priority,0.06488146632909775
91,9,investor,0.002968802582472563
92,9,wish,0.002968629589304328
93,9,associated,0.002968629589304328
94,9,initiative,0.002968629589304328
95,9,aligned,0.002968629589304328
96,9,tend,0.002968629589304328
97,9,stream,0.002968629589304328
98,9,loyal,0.002968629589304328
99,9,advocacy,0.002968629589304328
100,10,barrier,0.14012126624584198
101,10,future,0.0027301120571792126
102,10,offer,0.002730014966800809
103,10,partner,0.0027299264911562204
104,10,image,0.002729918109253049
105,10,existing,0.002729918109253049
106,10,benefit,0.002729918109253049
107,10,advocacy,0.0027297697961330414
108,10,stream,0.0027297697961330414
109,10,wish,0.0027297697961330414
110,11,offer,0.8138077855110168
111,11,easier,0.01211608201265335
112,11,customer,0.0005544171435758471
113,11,loyal,0.0005543825682252645
114,11,advocacy,0.0005543825682252645
115,11,wish,0.0005543825682252645
116,11,stream,0.0005543825682252645
117,11,aligned,0.0005543825682252645
118,11,customizing,0.0005543825682252645
119,11,initiative,0.0005543825682252645
120,12,customer,0.9280336499214172
121,12,chain,0.00022847860236652195
122,12,offer,0.0002284785296069458
123,12,advocacy,0.00022846460342407227
124,12,wish,0.00022846460342407227
125,12,stream,0.00022846460342407227
126,12,loyal,0.00022846460342407227
127,12,tend,0.00022846460342407227
