,Topic,Word,P
0,0,supplier,0.8474283218383789
1,0,stakeholder,0.0004844914947170764
2,0,proposition,0.00048444641288369894
3,0,investor,0.0004844430077355355
4,0,owner,0.00048438215162605047
5,0,customer,0.00048438215162605047
6,0,resource,0.0004843779024668038
7,0,benefit,0.00048437275108881295
8,0,offer,0.00048437275108881295
9,0,reseller,0.0004843535425607115
10,1,opportunity,0.6230785250663757
11,1,champion,0.018970945850014687
12,1,preferred,0.0011399697978049517
13,1,assistance,0.0011399697978049517
14,1,routine,0.0011399697978049517
15,1,economy,0.0011399697978049517
16,1,commercial,0.001139969564974308
17,1,feel,0.001139969564974308
18,1,trustworthy,0.001139969564974308
19,1,reasonable,0.001139969564974308
20,2,habit,0.246949702501297
21,2,mechanism,0.07920262217521667
22,2,profile,0.03401586040854454
23,2,customer,0.0020640790462493896
24,2,investor,0.0020545818842947483
25,2,offer,0.002052971860393882
26,2,existing,0.0020461769308894873
27,2,opportunity,0.0020444034598767757
28,2,resource,0.0020442374516278505
29,2,way,0.0020441997330635786
30,3,chain,0.376047283411026
31,3,proposition,0.001980996923521161
32,3,channel,0.0019808821380138397
33,3,face,0.001980802044272423
34,3,manufacturer,0.001980801811441779
35,3,manufacturing,0.001980801811441779
36,3,opportunistic,0.0019808015786111355
37,3,rule,0.0019808015786111355
38,3,limited,0.0019808015786111355
39,3,practice,0.0019808015786111355
40,4,resource,0.5619266629219055
41,4,owner,0.17196671664714813
42,4,investor,0.06606622785329819
43,4,proposition,0.002858362626284361
44,4,customer,0.0015504496404901147
45,4,future,0.0006294927443377674
46,4,image,0.0006290874443948269
47,4,benefit,0.0006290713208727539
48,4,community,0.0006290676537901163
49,4,enhancing,0.0006290379096753895
50,5,future,0.27579185366630554
51,5,image,0.21565985679626465
52,5,change,0.08276687562465668
53,5,offer,0.0014281851472333074
54,5,proposition,0.001363246701657772
55,5,existing,0.0013602053513750434
56,5,benefit,0.0013601572718471289
57,5,stakeholder,0.001360152498818934
58,5,associated,0.001360096619464457
59,5,preferred,0.0013600958045572042
60,6,border,0.17957361042499542
61,6,user,0.16772021353244781
62,6,way,0.09877903759479523
63,6,operational,0.05003470554947853
64,6,application,0.021489456295967102
65,6,content,0.021489456295967102
66,6,interface,0.021489456295967102
67,6,return,0.021489456295967102
68,6,headquarters,0.021489426493644714
69,6,customer,0.00130607676692307
70,7,brand,0.3798258304595947
71,7,cybersecurity,0.07872080057859421
72,7,intermediary,0.027329174801707268
73,7,resource,0.0016426403308287263
74,7,chain,0.0016426393995061517
75,7,existing,0.0016426361398771405
76,7,identity,0.0016425693174824119
77,7,competition,0.0016425693174824119
78,7,experience,0.0016425693174824119
79,7,culture,0.0016425693174824119
80,8,standard,0.2683459222316742
81,8,community,0.2589183747768402
82,8,cyberattacks,0.0238636564463377
83,8,partner,0.001444538007490337
84,8,company,0.0014434155309572816
85,8,investment,0.0014426169218495488
86,8,customer,0.001435633865185082
87,8,benefit,0.001434068544767797
88,8,face,0.0014339996268972754
89,8,rule,0.0014339996268972754
90,9,serve,0.10953545570373535
91,9,investor,0.0028272622730582952
92,9,stakeholder,0.0028270615730434656
93,9,local,0.0028269842732697725
94,9,owner,0.0028269842732697725
95,9,stream,0.002826869022101164
96,9,advocacy,0.002826869022101164
97,9,tend,0.002826869022101164
98,9,initiative,0.002826869022101164
99,9,aligned,0.002826869022101164
100,10,existing,0.21630460023880005
101,10,master,0.15352149307727814
102,10,customer,0.002007052768021822
103,10,proposition,0.0020070464815944433
104,10,investor,0.002007042756304145
105,10,benefit,0.002007010392844677
106,10,prototype,0.002006922382861376
107,10,tend,0.002006922150030732
108,10,aligned,0.002006922150030732
109,10,loyal,0.002006922150030732
110,11,life,0.2362799495458603
111,11,loyalty,0.07578213512897491
112,11,reward,0.07578213512897491
113,11,offer,0.0019561704248189926
114,11,customer,0.001956010702997446
115,11,proposition,0.0019558488857001066
116,11,stakeholder,0.0019558481872081757
117,11,face,0.0019557673949748278
118,11,manufacturer,0.001955767162144184
119,11,manufacturing,0.001955767162144184
120,12,company,0.4161717891693115
121,12,investor,0.09410028159618378
122,12,return,0.07094883918762207
123,12,board,0.05510227754712105
124,12,advisor,0.01685960404574871
125,12,governance,0.01685960404574871
126,12,customized,0.01685638725757599
127,12,local,0.0010656117228791118
128,12,service,0.0010151560418307781
129,12,product,0.0010147180873900652
130,13,capital,0.10953480750322342
131,13,offer,0.0028277579694986343
132,13,company,0.002827743533998728
133,13,proposition,0.0028276427183300257
134,13,service,0.002827527467161417
135,13,investor,0.002827364718541503
136,13,stakeholder,0.002827361924573779
137,13,benefit,0.002827293239533901
138,13,customer,0.00282727787271142
139,13,competitor,0.0028270625043660402
140,14,offer,0.6255208849906921
141,14,platform,0.13518215715885162
142,14,data,0.03460792452096939
143,14,logistics,0.00946399848908186
144,14,easier,0.009463845752179623
145,14,priority,0.009462839923799038
146,14,resource,0.0005688472301699221
147,14,trend,0.000568753806874156
148,14,investor,0.0005687280790880322
149,14,owner,0.0005687269731424749
150,15,customer,0.7602829337120056
151,15,product,0.0842447429895401
152,15,channel,0.07037650793790817
153,15,intermediary,0.004113827832043171
154,15,inventory,0.004112902097404003
155,15,competitor,0.0002473420463502407
156,15,benefit,0.00024721462978050113
157,15,anchor,0.0002471661427989602
158,15,transaction,0.00024716605548746884
159,15,switching,0.0002471659972798079
160,16,partner,0.6347377896308899
161,16,barrier,0.04012240096926689
162,16,customer,0.001035768655128777
163,16,reseller,0.001035476801916957
164,16,adequate,0.001035476685501635
165,16,depending,0.001035476685501635
166,16,commercial,0.0010354765690863132
167,16,face,0.0010354765690863132
168,16,aligned,0.0010354765690863132
169,16,trustworthy,0.0010354765690863132
170,17,affiliation,0.2437392771244049
171,17,achievement,0.12277158349752426
172,17,offer,0.0020175864920020103
173,17,desire,0.002017481718212366
174,17,appeal,0.002017481718212366
175,17,loyal,0.002017481019720435
176,17,stream,0.002017481019720435
177,17,advocacy,0.002017481019720435
178,17,aligned,0.002017481019720435
179,17,preferentially,0.002017481019720435
