,Topic,Word,P
0,0,supplier,0.8928148746490479
1,0,investor,0.0003421813889872283
2,0,customer,0.00034072500420734286
3,0,proposition,0.0003405640891287476
4,0,stakeholder,0.0003403596638236195
5,0,master,0.00034031138056889176
6,0,loyal,0.00034026079811155796
7,0,stream,0.00034026079811155796
8,0,aligned,0.00034026079811155796
9,0,tend,0.00034026079811155796
10,1,treatment,0.003164557507261634
11,1,customizing,0.003164557507261634
12,1,aligned,0.003164557507261634
13,1,tend,0.003164557507261634
14,1,stream,0.003164557507261634
15,1,loyal,0.003164557507261634
16,1,advocacy,0.003164557507261634
17,1,wish,0.003164557507261634
18,1,associated,0.003164557507261634
19,1,preferentially,0.003164557507261634
20,2,platform,0.3823809325695038
21,2,offer,0.14400038123130798
22,2,data,0.061882536858320236
23,2,logistics,0.026271605864167213
24,2,easier,0.02627144381403923
25,2,low,0.026268362998962402
26,2,channel,0.0010758261196315289
27,2,resource,0.001074557309038937
28,2,owner,0.0010743507882580161
29,2,benefit,0.0010741419391706586
30,3,treatment,0.003164557507261634
31,3,customizing,0.003164557507261634
32,3,aligned,0.003164557507261634
33,3,tend,0.003164557507261634
34,3,stream,0.003164557507261634
35,3,loyal,0.003164557507261634
36,3,advocacy,0.003164557507261634
37,3,wish,0.003164557507261634
38,3,associated,0.003164557507261634
39,3,preferentially,0.003164557507261634
40,4,channel,0.5752015113830566
41,4,customer,0.0014025188283994794
42,4,investor,0.0013591409660875797
43,4,resource,0.0013524608220905066
44,4,owner,0.0013508580159395933
45,4,product,0.0013489213306456804
46,4,proposition,0.0013485945528373122
47,4,benefit,0.001348478370346129
48,4,loyal,0.0013483359944075346
49,4,stream,0.0013483359944075346
50,5,resource,0.6154846549034119
51,5,owner,0.1881970465183258
52,5,master,0.052494700998067856
53,5,aligned,0.00045950053026899695
54,5,loyal,0.00045950053026899695
55,5,stream,0.00045950053026899695
56,5,wish,0.00045950053026899695
57,5,tend,0.00045950053026899695
58,5,initiative,0.00045950053026899695
59,5,customizing,0.00045950053026899695
60,6,standard,0.38282614946365356
61,6,reward,0.07872753590345383
62,6,loyalty,0.07872753590345383
63,6,cyberattacks,0.03342141956090927
64,6,community,0.0013814528938382864
65,6,customer,0.001369344419799745
66,6,company,0.001367709832265973
67,6,partner,0.001366458716802299
68,6,benefit,0.0013663884019479156
69,6,investment,0.0013663668651133776
70,7,capability,0.6088947653770447
71,7,border,0.05179017782211304
72,7,treatment,0.0010806210339069366
73,7,preferentially,0.0010806210339069366
74,7,tend,0.0010806210339069366
75,7,stream,0.0010806210339069366
76,7,loyal,0.0010806210339069366
77,7,advocacy,0.0010806210339069366
78,7,wish,0.0010806210339069366
79,7,initiative,0.0010806210339069366
80,8,treatment,0.003164557507261634
81,8,customizing,0.003164557507261634
82,8,aligned,0.003164557507261634
83,8,tend,0.003164557507261634
84,8,stream,0.003164557507261634
85,8,loyal,0.003164557507261634
86,8,advocacy,0.003164557507261634
87,8,wish,0.003164557507261634
88,8,associated,0.003164557507261634
89,8,preferentially,0.003164557507261634
90,9,existing,0.33785781264305115
91,9,customer,0.0034036380238831043
92,9,investor,0.002361650113016367
93,9,stakeholder,0.002243960974738002
94,9,user,0.0021906602196395397
95,9,capability,0.0020978604443371296
96,9,benefit,0.0020964164286851883
97,9,initiative,0.0020962723065167665
98,9,feel,0.0020962723065167665
99,9,aligned,0.0020962723065167665
100,10,treatment,0.003164557507261634
101,10,customizing,0.003164557507261634
102,10,aligned,0.003164557507261634
103,10,tend,0.003164557507261634
104,10,stream,0.003164557507261634
105,10,loyal,0.003164557507261634
106,10,advocacy,0.003164557507261634
107,10,wish,0.003164557507261634
108,10,associated,0.003164557507261634
109,10,preferentially,0.003164557507261634
110,11,change,0.2237195074558258
111,11,proposition,0.0024650280829519033
112,11,stakeholder,0.0024645363446325064
113,11,wish,0.0024643796496093273
114,11,customizing,0.0024643796496093273
115,11,aligned,0.0024643796496093273
116,11,tend,0.0024643796496093273
117,11,stream,0.0024643796496093273
118,11,loyal,0.0024643796496093273
119,11,advocacy,0.0024643796496093273
120,12,treatment,0.003164557507261634
121,12,customizing,0.003164557507261634
122,12,aligned,0.003164557507261634
123,12,tend,0.003164557507261634
124,12,stream,0.003164557507261634
125,12,loyal,0.003164557507261634
126,12,advocacy,0.003164557507261634
127,12,wish,0.003164557507261634
128,12,associated,0.003164557507261634
129,12,preferentially,0.003164557507261634
130,13,treatment,0.003164557507261634
131,13,customizing,0.003164557507261634
132,13,aligned,0.003164557507261634
133,13,tend,0.003164557507261634
134,13,stream,0.003164557507261634
135,13,loyal,0.003164557507261634
136,13,advocacy,0.003164557507261634
137,13,wish,0.003164557507261634
138,13,associated,0.003164557507261634
139,13,preferentially,0.003164557507261634
140,14,portfolio,0.2502140998840332
141,14,way,0.15817315876483917
142,14,technology,0.12568925321102142
143,14,infrastructure,0.03386940062046051
144,14,offer,0.0014626411721110344
145,14,customer,0.001385127892717719
146,14,trend,0.0013847480295225978
147,14,existing,0.001384659786708653
148,14,chain,0.0013846195070073009
149,14,capability,0.0013845820212736726
150,15,product,0.7064689993858337
151,15,profile,0.021204615011811256
152,15,customer,0.0009962175972759724
153,15,competitor,0.0008673028787598014
154,15,opportunity,0.000867052876856178
155,15,investment,0.0008670466486364603
156,15,investor,0.0008669687085784972
157,15,benefit,0.000866922433488071
158,15,stream,0.0008668656810186803
159,15,initiative,0.0008668656810186803
160,16,owner,0.0031647481955587864
161,16,resource,0.0031647481955587864
162,16,return,0.0031647481955587864
163,16,loyal,0.00316455471329391
