,Topic,Word,P
0,0,channel,0.6007046699523926
1,0,cybersecurity,0.001268561463803053
2,0,offer,0.0012677767081186175
3,0,resource,0.0012676928890869021
4,0,stream,0.0012675998732447624
5,0,tend,0.0012675998732447624
6,0,advocacy,0.0012675998732447624
7,0,aligned,0.0012675998732447624
8,0,initiative,0.0012675998732447624
9,0,preferentially,0.0012675998732447624
10,1,treatment,0.0031645570416003466
11,1,customizing,0.0031645570416003466
12,1,aligned,0.0031645570416003466
13,1,tend,0.0031645570416003466
14,1,stream,0.0031645570416003466
15,1,loyal,0.0031645570416003466
16,1,advocacy,0.0031645570416003466
17,1,wish,0.0031645570416003466
18,1,associated,0.0031645570416003466
19,1,preferentially,0.0031645570416003466
20,2,master,0.28705108165740967
21,2,resource,0.002263688948005438
22,2,owner,0.002263550879433751
23,2,aligned,0.0022633278276771307
24,2,loyal,0.0022633278276771307
25,2,stream,0.0022633278276771307
26,2,wish,0.0022633278276771307
27,2,tend,0.0022633278276771307
28,2,initiative,0.0022633278276771307
29,2,customizing,0.0022633278276771307
30,3,supplier,0.9024863839149475
31,3,customer,0.0003103582712356001
32,3,proposition,0.0003095848369412124
33,3,advocacy,0.00030956367845647037
34,3,wish,0.00030956367845647037
35,3,treatment,0.00030956367845647037
36,3,aligned,0.00030956367845647037
37,3,tend,0.00030956367845647037
38,3,customizing,0.00030956367845647037
39,3,stream,0.00030956367845647037
40,4,owner,0.30212676525115967
41,4,resource,0.28700438141822815
42,4,investor,0.1761876344680786
43,4,proposition,0.02624756097793579
44,4,customer,0.0019099685596302152
45,4,return,0.000664226827211678
46,4,benefit,0.0006642060470767319
47,4,loyal,0.000664062739815563
48,4,stream,0.000664062739815563
49,4,tend,0.000664062739815563
50,5,low,0.07913311570882797
51,5,owner,0.0029255037661641836
52,5,resource,0.0029242655728012323
53,5,benefit,0.0029237098060548306
54,5,product,0.0029235738329589367
55,5,service,0.0029235738329589367
56,5,tend,0.0029233752284199
57,5,loyal,0.0029233752284199
58,5,stream,0.0029233752284199
59,5,wish,0.0029233752284199
60,6,treatment,0.0031645570416003466
61,6,customizing,0.0031645570416003466
62,6,aligned,0.0031645570416003466
63,6,tend,0.0031645570416003466
64,6,stream,0.0031645570416003466
65,6,loyal,0.0031645570416003466
66,6,advocacy,0.0031645570416003466
67,6,wish,0.0031645570416003466
68,6,associated,0.0031645570416003466
69,6,preferentially,0.0031645570416003466
70,7,treatment,0.0031645570416003466
71,7,customizing,0.0031645570416003466
72,7,aligned,0.0031645570416003466
73,7,tend,0.0031645570416003466
74,7,stream,0.0031645570416003466
