,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,Name,Assertion
0,0.0,0.0,0.0,0.02218415029346943,0.010027766227722168,0.0,0.0,0.0,0.0,0.02032976783812046,0.0,0.05979033187031746,0.01972969062626362,0.0,0.0,0.010984072461724281,0.0,0.0,0.031760893762111664,0.011633673682808876,0.0,0.0,0.0,0.0,0.034470316022634506,0.0,0.0,0.44856247305870056,0.0,0.0,0.0,0.027798112481832504,0.02098209038376808,0.0,0.0,0.0,0.0,0.01837347447872162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010934051126241684,0.0,0.0,0.0,0.0,G6A002,Access resources required to scale at relatively low cost or for free by creating benefits for the resource owners that they cannot create alone
1,0.01573108322918415,0.011262194253504276,0.012824257835745811,0.039273399859666824,0.01775251515209675,0.011779886670410633,0.011262194253504276,0.011262194253504276,0.011693478561937809,0.03599051758646965,0.011262194253504276,0.10584897547960281,0.034928180277347565,0.01279926486313343,0.016500499099493027,0.019445497542619705,0.014969974756240845,0.014436726458370686,0.05622744932770729,0.02059551142156124,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.06102403625845909,0.011262194253504276,0.011262194253504276,0.023770330473780632,0.014740181155502796,0.012730509042739868,0.011262194253504276,0.04921199753880501,0.03714534640312195,0.013359606266021729,0.016997940838336945,0.012397429905831814,0.011262194253504276,0.032527223229408264,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.01672811433672905,0.012554452754557133,0.019356943666934967,0.011262194253504276,0.011414800770580769,0.011262194253504276,0.011262194253504276,A003,Adapt offers to each market
2,0.01573108322918415,0.011262194253504276,0.012824257835745811,0.039273399859666824,0.01775251515209675,0.011779886670410633,0.011262194253504276,0.011262194253504276,0.011693478561937809,0.03599051758646965,0.011262194253504276,0.10584897547960281,0.034928180277347565,0.01279926486313343,0.016500499099493027,0.019445497542619705,0.014969974756240845,0.014436726458370686,0.05622744932770729,0.02059551142156124,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.06102403625845909,0.011262194253504276,0.011262194253504276,0.023770330473780632,0.014740181155502796,0.012730509042739868,0.011262194253504276,0.04921199753880501,0.03714534640312195,0.013359606266021729,0.016997940838336945,0.012397429905831814,0.011262194253504276,0.032527223229408264,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.01672811433672905,0.012554452754557133,0.019356943666934967,0.011262194253504276,0.011414800770580769,0.011262194253504276,0.011262194253504276,A005,"Align interests of investors, the company top management team, and its owners"
3,0.0,0.0,0.0,0.02218415029346943,0.010027766227722168,0.0,0.0,0.0,0.0,0.02032976783812046,0.0,0.05979033187031746,0.01972969062626362,0.0,0.0,0.010984072461724281,0.0,0.0,0.031760893762111664,0.011633673682808876,0.0,0.0,0.0,0.0,0.034470316022634506,0.0,0.0,0.44856247305870056,0.0,0.0,0.0,0.027798112481832504,0.02098209038376808,0.0,0.0,0.0,0.0,0.01837347447872162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010934051126241684,0.0,0.0,0.0,0.0,A006,Allow resource owners to make money using your products and services
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592150092124939,0.0,0.0,0.0,0.0,0.0,0.0,0.013777446933090687,0.0,0.0,0.0,0.0,0.0,0.014952757395803928,0.0,0.0,0.0,0.0,0.0,0.0,0.20081397891044617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A007,"Apply big data analytics to produce insightful information about users, suppliers and customers to enhance shopping pattern analysis, improve customers experience, predict market trends, provide more secure online payment solutions, increase personalization, optimize and automate pricing, and provide dynamic customer service"
5,0.0,0.0,0.0,0.015457889065146446,0.0,0.0,0.0,0.0,0.0,0.014165757223963737,0.0,0.041661832481622696,0.01374762412160635,0.0,0.0,0.0,0.0,0.0,0.022130951285362244,0.3113078474998474,0.0,0.0,0.0,0.0,0.024018874391913414,0.0,0.0,0.0,0.0,0.0,0.0,0.3225712478160858,0.01462029479444027,0.0,0.0,0.0,0.0,0.012802614830434322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A008,"Apply digital technology to brand, market, sell, and service customers more cost effectively than competitors"
6,0.0,0.0,0.0,0.022184161469340324,0.010027770884335041,0.0,0.0,0.0,0.0,0.020329779013991356,0.0,0.05979036167263985,0.019729699939489365,0.44236496090888977,0.0,0.010984078049659729,0.0,0.0,0.03176090866327286,0.011633680202066898,0.0,0.0,0.0,0.0,0.0344703309237957,0.0,0.0,0.013427023775875568,0.0,0.0,0.0,0.02779812552034855,0.020982101559638977,0.0,0.0,0.0,0.0,0.018373483791947365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010934056714177132,0.0,0.0,0.0,0.0,A009,"Apply processes that continuously improve the cybersecurity of the company as well as its offers, channels, and resources"
7,0.01573108322918415,0.011262194253504276,0.012824257835745811,0.039273399859666824,0.01775251515209675,0.011779886670410633,0.011262194253504276,0.011262194253504276,0.011693478561937809,0.03599051758646965,0.011262194253504276,0.10584897547960281,0.034928180277347565,0.01279926486313343,0.016500499099493027,0.019445497542619705,0.014969974756240845,0.014436726458370686,0.05622744932770729,0.02059551142156124,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.06102403625845909,0.011262194253504276,0.011262194253504276,0.023770330473780632,0.014740181155502796,0.012730509042739868,0.011262194253504276,0.04921199753880501,0.03714534640312195,0.013359606266021729,0.016997940838336945,0.012397429905831814,0.011262194253504276,0.032527223229408264,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.01672811433672905,0.012554452754557133,0.019356943666934967,0.011262194253504276,0.011414800770580769,0.011262194253504276,0.011262194253504276,A010,"Apply processes that make offers easier to understand, produce and deliver"
8,0.0,0.0,0.0,0.022184213623404503,0.010027794167399406,0.0,0.0,0.0,0.0,0.020329823717474937,0.0,0.05979049950838089,0.45486363768577576,0.0,0.0,0.010984103195369244,0.0,0.0,0.03176098316907883,0.011633706279098988,0.0,0.0,0.0,0.0,0.034470412880182266,0.0,0.0,0.01342705450952053,0.0,0.0,0.0,0.027798188850283623,0.020982148125767708,0.0,0.0,0.0,0.0,0.018373526632785797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010934081859886646,0.0,0.0,0.0,0.0,A012,Arrange and deploy differently existing company resources
9,0.01573108322918415,0.011262194253504276,0.012824257835745811,0.039273399859666824,0.01775251515209675,0.011779886670410633,0.011262194253504276,0.011262194253504276,0.011693478561937809,0.03599051758646965,0.011262194253504276,0.10584897547960281,0.034928180277347565,0.01279926486313343,0.016500499099493027,0.019445497542619705,0.014969974756240845,0.014436726458370686,0.05622744932770729,0.02059551142156124,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.06102403625845909,0.011262194253504276,0.011262194253504276,0.023770330473780632,0.014740181155502796,0.012730509042739868,0.011262194253504276,0.04921199753880501,0.03714534640312195,0.013359606266021729,0.016997940838336945,0.012397429905831814,0.011262194253504276,0.032527223229408264,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.011262194253504276,0.01672811433672905,0.012554452754557133,0.019356943666934967,0.011262194253504276,0.011414800770580769,0.011262194253504276,0.011262194253504276,A014,"Assimilate and apply what companies do to scale early, rapidly and securely"
